"Name","Category","Supplier","Store","Date","Description","Total Quantity","Generated By","Purchase Price ($)"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","Vinay Pharmacy","06/30/2026","airnets, bouffant, and beard nets prevent hair from falling into food, pharmaceuticals, and other substances to ensure a clean and hygienic work area.","12","Super Admin (9001)","300.00"
"Uniform (Patient-Staff)","Uniforms","Quick Service","Vardaan","06/22/2026","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations.Staff Dress Code.","23","Super Admin (9001)","200.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","Quick Service","Vinay Pharmacy","06/12/2026","Displays simultaneous readings of systolic and diastolic blood pressure and puls","10","Super Admin (9001)","300.00"
"Surgical blades","Surgical blades","Quick Service","Vinay Pharmacy","06/08/2026","For prefilled syringes, plastic or glass syringes are the primary packaging devices","5","Super Admin (9001)","100.00"
"Medical  Equipment","Medical Equipment","Quick Service","Vinay Pharmacy","06/09/2026","High Quality Medical Equipment , Surgical Equipment , Surgical Instruments , Pharmaceutical Instruments and Pharmaceutical Testing Machines","12","Super Admin (9001)","200.00"
"Syringe","Syringe Packs","VK Supplier","SK Pharma","06/03/2026","","23","Super Admin (9001)","250.00"
"Syringe","Syringe Packs","VK Supplier","SK Pharma","05/30/2026","Disposable items stock","24","Super Admin (9001)","50.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","Vardaan","05/28/2026","Displays simultaneous readings of systolic and diastolic blood pressure and pulse","10","Super Admin (9001)","500.00"
"Medical  Equipment","Medical Equipment","Quick Service","SK Pharma","05/21/2026","High Quality Medical Equipment , Surgical Equipment , Surgical Instruments , Pharmaceutical Instruments and Pharmaceutical Testing Machines","5","Super Admin (9001)","1000.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","Quick Service","SK Pharma","05/15/2026","airnets, bouffant, and beard nets prevent hair from falling into food, pharmaceuticals, and other substances to ensure a clean and hygienic work area.","10","Super Admin (9001)","600.00"
"Uniforms","Uniforms","VK Supplier","Vinay Pharmacy","05/12/2026","Monthly stock replenishment","12","Super Admin (9001)","300.00"
"Operating Scissors","Medical scissors","Quick Service","Vinay Pharmacy","05/08/2026","For prefilled syringes, plastic or glass syringes are the primary packaging devices","20","Super Admin (9001)","100.00"
"Uniform (Patient-Staff)","Uniforms","VK Supplier","SK Pharma","05/05/2026","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations.Staff Dress Code.","20","Super Admin (9001)","200.00"
"Operating Scissors","Medical scissors","Quick Service","Vardaan","04/16/2026","Disposable items stock","200","","15.00"
"Medical shoe and boot covers","Apparel","VK Supplier","SK Pharma","04/11/2026","Surgical items restock","30","","120.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","Quick Service","Vinay Pharmacy","04/06/2026","Regular supply","100","","25.00"
"Uniform (Patient-Staff)","Uniforms","VK Supplier","SK Pharma","04/03/2026","Monthly stock replenishment","50","","45.00"
"Medical  Equipment","Medical Equipment","VK Supplier","Vinay Pharmacy","03/31/2026","High Quality Medical Equipment Pharmaceutical Testing Machines","50","Super Admin (9001)","200.00"
"Uniform (Patient-Staff)","Uniforms","Quick Service","Vardaan","03/23/2026","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations.Staff Dress Code.","50","Super Admin (9001)","100.00"
"Operating Scissors","Medical scissors","VK Supplier","Vinay Pharmacy","03/16/2026","For prefilled syringes, plastic or glass syringes are the primary packaging devices","100","Super Admin (9001)","200.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","Vinay Pharmacy","03/12/2026","airnets, bouffant, and beard nets prevent hair from falling into food, pharmaceuticals, and other substances to ensure a clean and hygienic work area.","100","Super Admin (9001)","250.00"
"Medical  Equipment","Medical Equipment","Quick Service","Vinay Pharmacy","03/09/2026","High Quality Medical Equipment , Surgical Equipment , Surgical Instruments , Pharmaceutical Instruments and Pharmaceutical Testing Machines","25","Super Admin (9001)","200.00"
"Syringe","Syringe Packs","VK Supplier","SK Pharma","03/06/2026","","23","Super Admin (9001)","200.00"
"Medical  Equipment","Medical Equipment","Quick Service","Vinay Pharmacy","02/21/2026","High Quality Medical Equipment Pharmaceutical Testing Machines","100","Super Admin (9001)","100.00"
"Operating Scissors","Medical scissors","VK Supplier","Vinay Pharmacy","02/28/2026","For prefilled syringes, plastic or glass syringes are the primary packaging devices.","100","Super Admin (9001)","100.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","SK Pharma","02/25/2026","Hairnets, bouffant, and beard nets prevent hair from falling into food, pharmaceuticals, and other substances to ensure a clean and hygienic work area.","100","Super Admin (9001)","350.00"
"Uniform (Patient-Staff)","Uniforms","VK Supplier","Vardaan","02/18/2026","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations. Staff Dress Code.","50","Super Admin (9001)","250.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","Quick Service","Vinay Pharmacy","02/08/2026","Displays simultaneous readings of systolic and diastolic blood pressure and pulse","200","Super Admin (9001)","350.00"
"Syringe","Syringe Packs","VK Supplier","SK Pharma","02/05/2026","","200","Super Admin (9001)","234.00"
"Medical shoe and boot covers","Apparel","Quick Service","Vinay Pharmacy","01/25/2026","OT Dress Uniform","50","Super Admin (9001)","120.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","SK Pharma","01/20/2026","Displays simultaneous readings of systolic and diastolic blood pressure and pulse.","100","Super Admin (9001)","200.00"
